date,metro,cases,deaths,est_pop,People.Fully.Vaccinated,unemp_rate
03/10/2021,Non-Metro,7805,180,59120,20495,5.6
03/10/2021,Non-Metro,2688,52,19588,7083,8.2
03/10/2021,Non-Metro,13303,366,90669,33980,7.6
03/10/2021,Metro,2529,58,23649,12774,8.5
03/10/2021,Metro,1100,15,9135,3649,5.3
03/10/2021,Metro,262,7,2028,621,4.3
03/10/2021,Metro,8271,193,51233,21801,8.4
03/10/2021,Metro,3325,50,32344,13034,6.6
03/10/2021,Non-Metro,980,23,7082,2343,4.8
03/10/2021,Metro,2174,48,23360,9167,5.8
03/10/2021,Metro,13914,150,90262,43109,6
03/10/2021,Non-Metro,517,18,3754,1318,3.5
03/10/2021,Non-Metro,5237,117,33571,14057,9.8
03/10/2021,Metro,37157,646,362093,128210,7
03/10/2021,Metro,311345,4769,2006193,1104429,7.5
03/10/2021,Non-Metro,1255,27,12365,5642,3.8
03/10/2021,Non-Metro,39,2,686,196,3.3
03/10/2021,Non-Metro,2371,52,19146,7301,5.5
03/10/2021,Metro,12287,293,95897,28179,7.4
03/10/2021,Metro,57379,763,382874,190061,8.6
03/10/2021,Metro,37016,334,233071,103550,5.3
03/10/2021,Non-Metro,1034,19,9055,4440,6.7
03/10/2021,Non-Metro,207,7,1599,553,4.8
03/10/2021,Non-Metro,1113,45,7060,3993,10.7
03/10/2021,Non-Metro,6833,176,38874,13414,6.5
03/10/2021,Metro,3127,57,18361,7722,6.3
03/10/2021,Non-Metro,7166,107,49225,21727,4.7
03/10/2021,Metro,8226,139,43501,20491,6.3
03/10/2021,Non-Metro,3791,32,22058,10031,5.8
03/10/2021,Metro,1674,52,14027,4560,5.4
03/10/2021,Metro,63896,1905,426144,272950,10.2
03/10/2021,Non-Metro,1959,62,12936,4624,7.4
03/10/2021,Metro,741,23,5875,1770,4.2
03/10/2021,Non-Metro,4263,127,30243,8974,7.9
03/10/2021,Non-Metro,1256,34,7260,2679,3.6
03/10/2021,Metro,8503,90,44944,18092,9.5
03/10/2021,Non-Metro,6616,193,53558,17560,7.9
03/10/2021,Non-Metro,1510,20,7052,3244,3.7
03/10/2021,Metro,1379,23,10317,4042,5.5
03/10/2021,Non-Metro,428,16,2890,962,7.1
03/10/2021,Non-Metro,659,16,3400,1117,5.5
03/10/2021,Non-Metro,990,49,8041,2706,7.4
03/10/2021,Metro,124827,1035,1047901,607665,6.3
03/10/2021,Non-Metro,383,9,2802,800,4.3
03/10/2021,Non-Metro,2470,51,22566,10047,5.6
03/10/2021,Metro,18594,427,161328,83754,6.2
03/10/2021,Non-Metro,2097,59,13848,5435,5.5
03/10/2021,Non-Metro,689,10,2715,1146,4.5
03/10/2021,Non-Metro,4910,88,40685,13621,7.1
03/10/2021,Metro,10324,145,75657,25746,6.6
03/10/2021,Non-Metro,217,9,1346,469,4.9
03/10/2021,Non-Metro,824,16,4670,1401,13.6
03/10/2021,Non-Metro,762,16,3465,1316,8.9
03/10/2021,Metro,958,33,5658,2302,5.2
03/10/2021,Non-Metro,382,11,2228,1063,6.5
03/10/2021,Non-Metro,1163,28,6929,2569,2.8
03/10/2021,Metro,389318,4931,2647627,1334513,7.7
03/10/2021,Non-Metro,2061,75,12652,3735,8.7
03/10/2021,Non-Metro,3313,70,19572,6769,3.6
03/10/2021,Non-Metro,578,19,5304,1582,5.5
03/10/2021,Metro,101276,928,904005,482216,6.5
03/10/2021,Non-Metro,237,10,2054,644,6.3
03/10/2021,Non-Metro,3713,42,9426,5707,6.4
03/10/2021,Non-Metro,542,18,3170,1065,4.4
03/10/2021,Non-Metro,1928,54,10860,6146,12.1
03/10/2021,Non-Metro,2008,72,18278,5646,6.7
03/10/2021,Metro,24998,490,169394,60510,11
03/10/2021,Non-Metro,315,7,1979,647,3.5
03/10/2021,Metro,145433,2829,851888,524004,8.3
03/10/2021,Metro,31652,411,191469,82801,6
03/10/2021,Non-Metro,6043,93,43110,13726,5.7
03/10/2021,Metro,2566,41,17432,6650,6
03/10/2021,Non-Metro,4669,136,36727,12378,4.7
03/10/2021,Non-Metro,3556,88,26522,11603,4.7
03/10/2021,Non-Metro,402,16,3897,1215,4.5
03/10/2021,Non-Metro,1097,34,5445,2205,6.2
03/10/2021,Non-Metro,178,10,1102,434,4.2
03/10/2021,Metro,95676,890,818912,502265,7.7
03/10/2021,Non-Metro,1254,31,10792,3376,5.3
03/10/2021,Non-Metro,2677,64,20732,6666,8.3
03/10/2021,Non-Metro,3738,65,18937,9260,5.7
03/10/2021,Non-Metro,2048,54,21258,3972,5.6
03/10/2021,Metro,62372,655,341146,182520,8.7
03/10/2021,Non-Metro,678,22,5978,2862,6.8
03/10/2021,Non-Metro,3404,74,27617,13175,4.8
03/10/2021,Non-Metro,147,3,1363,521,3.6
03/10/2021,Metro,699,23,8127,2936,7.7
03/10/2021,Non-Metro,3470,77,20819,9153,5.4
03/10/2021,Non-Metro,3384,69,21900,7390,8.1
03/10/2021,Metro,15586,445,136052,50713,5.9
03/10/2021,Metro,18605,484,126225,50173,8.3
03/10/2021,Non-Metro,5048,98,29730,13204,8
03/10/2021,Metro,23110,302,169139,79671,6.1
03/10/2021,Non-Metro,7669,183,32864,11955,6.8
03/10/2021,Non-Metro,528,15,2969,1134,5.8
03/10/2021,Non-Metro,1258,29,8637,3692,4.5
03/10/2021,Non-Metro,1090,26,5288,2024,3.5
03/10/2021,Non-Metro,442,13,3873,1592,4.4
03/10/2021,Metro,10100,178,59592,19155,9
03/10/2021,Metro,558618,8414,4703708,2530251,8.9
03/10/2021,Non-Metro,8871,161,68703,22455,7.9
03/10/2021,Non-Metro,818,2,5887,2323,2.1
03/10/2021,Non-Metro,554,30,5572,1818,4.3
03/10/2021,Metro,31768,367,232080,123713,6.3
03/10/2021,Non-Metro,676,3,3827,1462,4.4
03/10/2021,Non-Metro,9412,302,83220,28772,6.4
03/10/2021,Metro,112973,3347,888958,538137,11.6
03/10/2021,Non-Metro,5637,137,37470,12774,6.3
03/10/2021,Non-Metro,4046,127,22603,8611,7.9
03/10/2021,Metro,9199,183,61387,26699,6.6
03/10/2021,Non-Metro,5112,136,37475,12824,5.1
03/10/2021,Non-Metro,2762,77,23439,8457,5.3
03/10/2021,Non-Metro,5655,120,36421,11024,8.1
03/10/2021,Metro,578,14,3683,2891,8
03/10/2021,Metro,10389,261,98685,35312,6.5
03/10/2021,Non-Metro,3386,83,20439,6242,7.2
03/10/2021,Metro,180,2,1584,574,6
03/10/2021,Non-Metro,826,19,9305,2980,7
03/10/2021,Non-Metro,2724,48,14256,5696,5.8
03/10/2021,Non-Metro,3909,135,35353,11450,11.2
03/10/2021,Non-Metro,204,6,2408,1079,5.1
03/10/2021,Metro,30882,636,250803,105758,11.9
03/10/2021,Non-Metro,889,20,5079,2606,9.5
03/10/2021,Non-Metro,6954,163,39759,20087,13
03/10/2021,Metro,26560,488,175987,68919,6.5
03/10/2021,Metro,3150,67,19745,7606,7
03/10/2021,Non-Metro,3802,52,15778,7334,6.3
03/10/2021,Metro,22819,380,140667,59684,6.5
03/10/2021,Metro,4850,90,47700,26051,5
03/10/2021,Non-Metro,60,2,378,207,5.4
03/10/2021,Non-Metro,120,3,754,257,3.9
03/10/2021,Non-Metro,6272,119,53024,22676,5.9
03/10/2021,Non-Metro,428,11,4581,1689,5.1
03/10/2021,Non-Metro,14,0,275,40,1.7
03/10/2021,Non-Metro,492,8,3594,1406,6
03/10/2021,Non-Metro,4223,125,32158,16987,8.4
03/10/2021,Non-Metro,299,20,3796,1247,5.6
03/10/2021,Non-Metro,1183,36,7391,4222,6.8
03/10/2021,Non-Metro,8503,191,50436,16753,6.5
03/10/2021,Non-Metro,2929,87,12412,4628,5.2
03/10/2021,Metro,3420,58,21395,8257,5.4
03/10/2021,Non-Metro,3109,91,20511,8001,5.2
03/10/2021,Non-Metro,2827,49,17432,7054,4.9
03/10/2021,Non-Metro,2381,61,17649,5860,7.8
03/10/2021,Metro,12369,316,93496,32658,10.6
03/10/2021,Non-Metro,3550,104,23654,7879,7.1
03/10/2021,Non-Metro,374,12,3153,876,4.2
03/10/2021,Non-Metro,1735,34,12208,3593,7.5
03/10/2021,Non-Metro,2495,68,21890,10044,5.7
03/10/2021,Non-Metro,8,0,96,31,1.7
03/10/2021,Metro,63877,933,309880,130020,5.7
03/10/2021,Metro,797,26,6243,2067,5.4
03/10/2021,Non-Metro,2407,42,14088,5072,7.2
03/10/2021,Non-Metro,1125,44,9662,3574,8.2
03/10/2021,Metro,824,22,5739,1529,6.1
03/10/2021,Non-Metro,518,7,4318,1877,5.6
03/10/2021,Non-Metro,5934,146,36158,14976,10.5
03/10/2021,Non-Metro,12537,392,58116,37292,15
03/10/2021,Non-Metro,895,30,8313,2670,7.5
03/10/2021,Metro,40750,660,255372,110801,6.2
03/10/2021,Non-Metro,113,7,748,302,2.8
03/10/2021,Metro,6653,153,54612,24616,6.3
03/10/2021,Non-Metro,331,11,2124,979,5.2
03/10/2021,Metro,26831,342,179232,65602,8.1
03/10/2021,Non-Metro,3649,75,25157,9876,7.1
03/10/2021,Non-Metro,840,26,4875,1788,4.1
03/10/2021,Non-Metro,871,36,8685,2720,7.9
03/10/2021,Non-Metro,2892,86,19712,6131,6.6
03/10/2021,Metro,85161,954,609172,290007,7.5
03/10/2021,Non-Metro,3333,82,20902,7610,3.8
03/10/2021,Non-Metro,1584,47,12468,4608,11.4
03/10/2021,Non-Metro,148,8,1196,279,4.6
03/10/2021,Non-Metro,7457,212,64850,24868,6.6
03/10/2021,Non-Metro,8450,172,52973,20018,6.2
03/10/2021,Metro,931,47,13103,2961,11
03/10/2021,Non-Metro,2369,71,14150,5632,5.3
03/10/2021,Metro,60350,1204,363776,179625,9
03/10/2021,Non-Metro,1406,32,10246,3244,5.8
03/10/2021,Metro,332,5,2131,633,3.9
03/10/2021,Metro,13460,249,82168,26206,10.5
03/10/2021,Non-Metro,4523,107,29069,9657,7
03/10/2021,Non-Metro,2853,101,24611,7117,8.4
03/10/2021,Metro,22776,271,143504,56726,5.9
03/10/2021,Non-Metro,1500,35,9325,3332,2.6
03/10/2021,Non-Metro,2119,44,15033,8075,8.1
03/10/2021,Non-Metro,5730,181,50717,18948,8.7
03/10/2021,Metro,22544,536,115471,43220,5.5
03/10/2021,Non-Metro,893,27,6302,5301,14.7
03/10/2021,Non-Metro,1440,37,12493,3924,4.7
03/10/2021,Metro,22660,354,138549,53630,4.5
03/10/2021,Non-Metro,556,9,3895,1385,9.7
03/10/2021,Non-Metro,492,16,3464,1492,6.7
03/10/2021,Non-Metro,1296,46,11479,4186,6.4
03/10/2021,Non-Metro,3343,49,16400,6425,7.1
03/10/2021,Non-Metro,1176,29,6844,3381,8.2
03/10/2021,Non-Metro,90,1,832,241,4.6
03/10/2021,Metro,2856,61,17613,6578,6.4
03/10/2021,Metro,16832,204,105969,52593,6
03/10/2021,Non-Metro,1650,52,10218,4064,4.9
03/10/2021,Metro,7874,155,54764,18202,7.3
03/10/2021,Non-Metro,921,67,10859,3431,10.8
03/10/2021,Non-Metro,843,35,8409,3102,9.6
03/10/2021,Non-Metro,2730,67,29652,8544,8.1
03/10/2021,Metro,6757,258,67033,32747,10.3
03/10/2021,Non-Metro,915,26,6223,1908,5.2
03/10/2021,Non-Metro,343,9,2727,1162,6.9
03/10/2021,Non-Metro,3134,81,16556,6773,8.2
03/10/2021,Non-Metro,397,5,3415,1039,5.3
03/10/2021,Non-Metro,2804,99,24054,7778,6.8
03/10/2021,Non-Metro,294,15,3072,830,3.1
03/10/2021,Metro,34714,683,232675,93202,6.8
03/10/2021,Metro,1405,21,9605,3461,6.5
03/10/2021,Non-Metro,11396,328,63688,43556,17.3
03/10/2021,Non-Metro,1097,32,9506,2911,6.1
03/10/2021,Non-Metro,162,5,1239,429,6.4
03/10/2021,Non-Metro,204,6,1380,510,5
03/10/2021,Non-Metro,602,11,3619,1458,9.8
03/10/2021,Non-Metro,1373,22,7435,2517,5.2
03/10/2021,Metro,346536,4304,2063496,1023705,7.3
03/10/2021,Metro,21722,495,139083,54227,5.5
03/10/2021,Non-Metro,103,3,776,355,4.6
03/10/2021,Non-Metro,2003,63,12538,4556,7.3
03/10/2021,Non-Metro,111,5,1407,555,4.9
03/10/2021,Non-Metro,5585,98,33596,11169,6.7
03/10/2021,Metro,24327,360,117791,49115,6.3
03/10/2021,Metro,115667,1349,1285526,777886,6.3
03/10/2021,Non-Metro,1501,50,14457,5399,8.1
03/10/2021,Non-Metro,2396,65,22966,6946,9.9
03/10/2021,Metro,5633,122,41262,12308,7.7
03/10/2021,Non-Metro,581,13,3581,1309,5.6
03/10/2021,Non-Metro,6127,92,26260,12294,6.4
03/10/2021,Non-Metro,10394,236,50988,26914,7.9
03/10/2021,Non-Metro,7549,187,56503,18245,6.1
03/10/2021,Metro,12877,315,90940,40277,8.3
03/10/2021,Non-Metro,11642,171,77300,30670,7.2
03/10/2021,Metro,6189,70,55626,20386,7.8
03/10/2021,Non-Metro,1796,26,11635,3959,9.4
03/10/2021,Non-Metro,5567,121,35612,16382,5.6
03/10/2021,Metro,56033,936,280547,192557,8.5
03/10/2021,Non-Metro,6057,162,41279,18233,6.8
03/10/2021,Non-Metro,739,12,5168,1760,6
03/10/2021,Metro,21162,455,132756,51858,6.7
03/10/2021,Non-Metro,2171,58,12393,5699,5.9
03/10/2021,Non-Metro,4495,104,21502,11924,12
03/10/2021,Metro,72737,643,602686,344685,5.9
03/10/2021,Metro,7046,120,52839,22775,5.7
03/10/2021,Non-Metro,1069,27,8145,2646,9.3
03/10/2021,Metro,10720,177,70078,23702,6.5
03/10/2021,Non-Metro,6151,197,45528,17321,6.6
03/10/2021,Non-Metro,1131,30,8773,3046,11.9
03/10/2021,Non-Metro,2693,60,19294,6464,5.3
03/10/2021,Non-Metro,2173,41,14280,7718,12.4
03/10/2021,Non-Metro,2461,52,12077,5339,14.1
